turn,wall_clock_s,system_tokens,domain_tokens,durable_tokens,ephemeral_tokens,total_context_tokens,cache_hit_tokens,cache_miss_tokens,cache_write_tokens,token_cost,attention_cost,projection_cost_tokens,evictions,faults,projected
83,11201.540000000003,3000,15000,7158,1826,26984,26711,273,311,3332.8500000000004,728136256.0,0,0,0,False
84,11335.020000000002,3000,15000,7158,2125,27283,26259,1024,299,4023.65,744362089.0,0,0,0,False
85,11491.100000000002,3000,15000,11162,269,29431,29431,0,11431,28662.85,866183761.0,11431,0,0,True
86,11662.940000000002,3000,15000,11162,969,30131,30131,0,700,3888.1000000000004,907877161.0,0,0,0,False
87,11808.570000000002,3000,15000,11162,1430,30592,30323,269,461,3877.55,935870464.0,0,0,0,False
88,11990.470000000001,3000,15000,11162,1687,30849,29880,969,257,4278.25,951660801.0,0,0,0,False
89,12277.44,3000,15000,11162,2918,32080,30650,1430,1231,6033.75,1029126400.0,0,0,0,False
90,12457.9,3000,15000,15029,333,33362,33362,0,15362,37900.7,1113023044.0,15362,0,0,True
91,12624.8,3000,15000,15029,888,33917,33917,0,555,4085.4500000000003,1150362889.0,0,0,0,False
92,12739.88,3000,15000,15029,1402,34431,34431,0,514,4085.6000000000004,1185493761.0,0,0,0,False
93,12869.199999999999,3000,15000,15029,2259,35288,34955,333,857,4899.75,1245242944.0,0,0,0,False
94,13003.359999999999,3000,15000,15029,2693,35722,34834,888,434,4913.9,1276061284.0,0,0,0,False
95,13145.98,3000,15000,11121,831,29952,29952,0,11952,29887.2,897122304.0,11952,0,0,True
96,13284.619999999999,3000,15000,11121,1380,30501,30501,0,549,3736.3500000000004,930311001.0,0,0,0,False
97,13425.31,3000,15000,11121,2295,31416,31416,0,915,4285.35,986965056.0,0,0,0,False
98,13564.34,3000,15000,11121,2753,31874,31043,831,458,4507.8,1015951876.0,0,0,0,False
99,13700.73,3000,15000,11121,3693,32814,31434,1380,940,5698.4,1076758596.0,0,0,0,False
100,13821.4,3000,15000,4801,325,23126,23126,0,5126,13846.1,534811876.0,5126,0,0,True
101,13933.19,3000,15000,4801,1346,24147,24147,0,1021,3690.9500000000003,583077609.0,0,0,0,False
102,14057.5,3000,15000,4801,2305,25106,25106,0,959,3709.3500000000004,630311236.0,0,0,0,False
103,14190.64,3000,15000,4801,2397,25198,24873,325,92,2927.3,634939204.0,0,0,0,False
104,14321.939999999999,3000,15000,4801,2434,25235,23889,1346,37,3781.15,636805225.0,0,0,0,False
