turn,wall_clock_s,system_tokens,domain_tokens,durable_tokens,ephemeral_tokens,total_context_tokens,cache_hit_tokens,cache_miss_tokens,cache_write_tokens,token_cost,attention_cost,projection_cost_tokens,evictions,faults,projected
84,11335.020000000002,3000,15000,0,96208,114208,19101,95107,299,97390.85,13043467264.0,0,0,0,False
85,11491.100000000002,3000,15000,0,96477,114477,18879,95598,269,97822.15,13104983529.0,0,0,0,False
86,11662.940000000002,3000,15000,0,97177,115177,18969,96208,700,98979.9,13265741329.0,0,0,0,False
87,11808.570000000002,3000,15000,0,97638,115638,19161,96477,461,98969.35,13372147044.0,0,0,0,False
88,11990.470000000001,3000,15000,0,97895,115895,18718,97177,257,99370.05,13431651025.0,0,0,0,False
89,12277.44,3000,15000,0,99126,117126,19488,97638,1231,101125.55,13718499876.0,0,0,0,False
90,12457.9,3000,15000,0,99459,117459,19564,97895,333,100267.65,13796616681.0,0,0,0,False
91,12624.8,3000,15000,0,100014,118014,18888,99126,555,101708.55,13927304196.0,0,0,0,False
92,12739.88,3000,15000,0,100528,118528,19402,99126,514,101708.7,14048886784.0,0,0,0,False
93,12869.199999999999,3000,15000,0,101385,119385,19926,99459,857,102522.85,14252778225.0,0,0,0,False
94,13003.359999999999,3000,15000,0,101819,119819,19805,100014,434,102537.0,14356592761.0,0,0,0,False
95,13145.98,3000,15000,0,102650,120650,20122,100528,831,103578.95,14556422500.0,0,0,0,False
96,13284.619999999999,3000,15000,0,103199,121199,19814,101385,549,104052.65,14689197601.0,0,0,0,False
97,13425.31,3000,15000,0,104114,122114,20295,101819,915,104992.25,14911828996.0,0,0,0,False
98,13564.34,3000,15000,0,104572,122572,19922,102650,458,105214.7,15023895184.0,0,0,0,False
99,13700.73,3000,15000,0,105512,123512,20313,103199,940,106405.3,15255214144.0,0,0,0,False
100,13821.4,3000,15000,0,105837,123837,19723,104114,325,106492.55,15335602569.0,0,0,0,False
101,13933.19,3000,15000,0,106858,124858,20286,104572,1021,107876.85,15589520164.0,0,0,0,False
102,14057.5,3000,15000,0,107817,125817,20305,105512,959,108741.25,15829917489.0,0,0,0,False
103,14190.64,3000,15000,0,107909,125909,20072,105837,92,107959.2,15853076281.0,0,0,0,False
104,14321.939999999999,3000,15000,0,107946,125946,19088,106858,37,108813.05,15862394916.0,0,0,0,False
