turn,wall_clock_s,system_tokens,domain_tokens,durable_tokens,ephemeral_tokens,total_context_tokens,cache_hit_tokens,cache_miss_tokens,cache_write_tokens,token_cost,attention_cost,projection_cost_tokens,evictions,faults,projected
92,12739.88,3000,15000,13369,1069,32438,32438,0,514,3886.3,1052223844.0,0,0,0,False
93,12869.199999999999,3000,15000,13369,1926,33295,33295,0,857,4400.75,1108557025.0,0,0,0,False
94,13003.359999999999,3000,15000,10110,434,28544,28544,0,10544,26578.4,814759936.0,10544,0,0,True
95,13145.98,3000,15000,11121,831,29952,29952,0,11952,29887.2,897122304.0,11952,0,0,True
96,13284.619999999999,3000,15000,10605,549,29154,29154,0,11154,28011.9,849955716.0,11154,0,0,True
97,13425.31,3000,15000,10652,915,29567,29567,0,11567,28982.45,874207489.0,11567,0,0,True
98,13564.34,3000,15000,11020,458,29478,29478,0,11478,28773.3,868952484.0,11478,0,0,True
99,13700.73,3000,15000,9838,940,28778,28778,0,10778,27128.3,828173284.0,10778,0,0,True
100,13821.4,3000,15000,9838,1265,29103,29103,0,325,3316.55,846984609.0,0,0,0,False
101,13933.19,3000,15000,9838,2286,30124,30124,0,1021,4288.65,907455376.0,0,0,0,False
102,14057.5,3000,15000,8671,959,27630,27630,0,9630,24430.5,763416900.0,9630,0,0,True
103,14190.64,3000,15000,10003,92,28095,28095,0,10095,25523.25,789329025.0,10095,0,0,True
104,14321.939999999999,3000,15000,10012,37,28049,28049,0,10049,25415.15,786746401.0,10049,0,0,True
